Date,Open,High,Low,Close,Volume,Adj Close
2013-08-08,2.00,2.05,1.98,2.04,11000,2.04
2013-08-07,2.06,2.11,1.95,1.95,50800,1.95
2013-08-06,2.08,2.15,2.05,2.05,19800,2.05
2013-08-02,2.12,2.15,2.06,2.13,23600,2.13
2013-08-01,2.10,2.18,2.08,2.14,14800,2.14
2013-07-31,2.24,2.24,2.06,2.06,38500,2.06
2013-07-30,2.25,2.25,2.24,2.25,1000,2.25
2013-07-29,2.24,2.29,2.19,2.23,3300,2.23
2013-07-26,2.30,2.30,2.20,2.25,15000,2.25
2013-07-25,2.26,2.32,2.26,2.28,5200,2.28
2013-07-24,2.38,2.38,2.25,2.25,19000,2.25
2013-07-23,2.32,2.38,2.26,2.35,53900,2.35
2013-07-22,2.33,2.34,2.29,2.33,15000,2.33
2013-07-19,2.25,2.33,2.25,2.29,18600,2.29
2013-07-18,2.26,2.26,2.21,2.25,13000,2.25
2013-07-17,2.25,2.30,2.20,2.21,5300,2.21
2013-07-16,2.25,2.25,2.23,2.23,2100,2.23
2013-07-15,2.30,2.34,2.21,2.21,13900,2.21
2013-07-12,2.31,2.36,2.28,2.28,44300,2.28
2013-07-11,2.44,2.44,2.31,2.35,39500,2.35
2013-07-10,2.35,2.37,2.32,2.32,79800,2.32
2013-07-09,2.36,2.41,2.33,2.35,17300,2.35
2013-07-08,2.37,2.37,2.32,2.32,47500,2.32
2013-07-05,2.39,2.39,2.20,2.32,70100,2.32
2013-07-04,2.28,2.41,2.28,2.41,13400,2.41
2013-07-03,2.29,2.29,2.20,2.24,7000,2.24
2013-07-02,2.24,2.50,2.24,2.31,51700,2.31
2013-06-28,2.17,2.25,2.16,2.21,43900,2.21
2013-06-27,2.16,2.25,2.13,2.15,10600,2.15
2013-06-26,2.13,2.20,2.13,2.19,7800,2.19
2013-06-25,2.06,2.16,2.06,2.16,8600,2.16
2013-06-24,2.14,2.15,2.00,2.01,44700,2.01
2013-06-21,2.20,2.22,2.15,2.15,22400,2.15
2013-06-20,2.29,2.30,2.17,2.20,91500,2.20
2013-06-19,2.30,2.40,2.26,2.28,14700,2.28
2013-06-18,2.30,2.30,2.24,2.30,59200,2.30
2013-06-17,2.40,2.40,2.25,2.27,59700,2.27
2013-06-14,2.25,2.28,2.23,2.25,15400,2.25
2013-06-13,2.25,2.27,2.23,2.26,5200,2.26
2013-06-12,2.35,2.35,2.22,2.31,27500,2.31
2013-06-11,2.37,2.40,2.29,2.32,56000,2.32
2013-06-10,2.44,2.46,2.34,2.43,59700,2.43
2013-06-07,2.42,2.46,2.42,2.43,64700,2.43
2013-06-06,2.46,2.46,2.44,2.45,9600,2.45
